p_center,g1,g2,resid_log,block
1685609797.0,6,6,-0.0653588639126261,9
1894912206.0,12,20,-0.0058559852890203,10
1685609797.0,30,20,0.0547331367038702,9
1270890835.0,54,10,0.1035159225365749,7
1685609797.0,30,58,0.08242252122726,9
1685609797.0,30,40,0.0865322605615515,9
1894912206.0,36,30,0.1224039457126579,10
1270890835.0,14,36,0.0345001536568176,7
1477585809.0,50,18,0.0767592247375408,8
1685609797.0,18,42,0.0808928108556148,9
1477585809.0,54,18,0.054505029713481,8
1685609797.0,36,56,0.1541004930366335,9
1477585809.0,52,48,0.1938391144425985,8
1685609797.0,12,52,0.028736702131685,9
1477585809.0,12,30,0.0275062816721789,8
1477585809.0,28,26,0.0919875016656867,8
1477585809.0,28,8,0.000515686825545,8
1894912206.0,42,48,0.1616468723592731,10
1477585809.0,24,34,0.1210811626340596,8
1685609797.0,26,48,0.139814630019855,9
1477585809.0,4,30,-0.0217280232341682,8
1270890835.0,42,22,0.0494975822318633,7
1477585809.0,36,12,0.0077168289088379,8
1477585809.0,18,46,0.1088356679425818,8
1477585809.0,12,56,0.0153967697149612,8
1685609797.0,36,40,0.1305677315455148,9
1894912206.0,24,8,-0.012678668033404,10
1685609797.0,30,50,0.1615035570512737,9
1685609797.0,16,38,0.1123604686256326,9
1894912206.0,2,54,0.0378247203731701,10
1685609797.0,16,2,-0.0493368965831658,9
1894912206.0,16,32,0.0457275007215283,10
1270890835.0,8,18,-0.0190287638800719,7
1894912206.0,8,42,0.0463373395875289,10
1685609797.0,46,18,0.1081931514170018,9
1270890835.0,14,10,-0.0254044504603479,7
1270890835.0,18,34,-0.0033038546690307,7
1894912206.0,16,54,0.1040939736385044,10
1477585809.0,58,30,0.0861450095814956,8
1270890835.0,46,14,0.0625227686432407,7
1685609797.0,30,36,0.0997792321452743,9
1894912206.0,26,40,0.1069664263307109,10
1270890835.0,26,40,0.088844419350505,7
1894912206.0,58,44,0.0970596693860065,10
1270890835.0,10,24,-0.0077063721442229,7
1685609797.0,2,46,-0.0020638491686723,9
1894912206.0,54,24,0.1747086371210375,10
1477585809.0,48,24,0.095136735356454,8
1477585809.0,18,32,0.0755607791580222,8
1270890835.0,42,26,0.0228435642774703,7
1270890835.0,26,36,0.0608700441527551,7
1894912206.0,20,6,-0.036446086489947,10
1477585809.0,28,44,0.0611832786157019,8
1894912206.0,10,24,-0.0233426694725136,10
1270890835.0,38,22,0.0950037447663557,7
1477585809.0,56,34,0.1510406382293763,8
1685609797.0,26,16,0.0534795066455432,9
1894912206.0,42,58,0.1842917142805839,10
1894912206.0,44,48,0.174961837543926,10
1685609797.0,42,26,0.0527136106195695,9
1477585809.0,10,38,0.0223641611179614,8
1270890835.0,42,8,0.0254999640784568,7
1685609797.0,48,20,0.0375103914865492,9
1270890835.0,36,30,0.1133063582849777,7
1685609797.0,6,24,-0.0209627165349184,9
1270890835.0,56,36,0.0924198660429776,7
1685609797.0,12,44,0.0269341505423365,9
1685609797.0,24,2,-0.038163328750224,9
1270890835.0,32,16,0.033599999642411,7
1270890835.0,12,26,0.0459230734101617,7
1685609797.0,10,42,-0.0106067958643894,9
1685609797.0,24,34,0.1021367221228306,9
1270890835.0,30,20,0.0633557837969304,7
1477585809.0,30,6,0.0005050556305041,8
1270890835.0,14,48,0.0544441417437149,7
1270890835.0,18,22,0.0427865829982107,7
1685609797.0,50,4,0.0793258491053558,9
1894912206.0,12,32,-0.0123175997705908,10
1894912206.0,52,20,0.0543194276967266,10
1477585809.0,54,46,0.1683434068421028,8
1894912206.0,58,42,0.1946325551045447,10
1894912206.0,14,52,0.0703804645300865,10
1685609797.0,58,42,0.2000351810072589,9
1894912206.0,18,2,-0.0576201120190673,10
1685609797.0,28,20,0.0291164898292891,9
1477585809.0,6,14,-0.0427082028691834,8
1270890835.0,30,54,0.1319478082861248,7
1270890835.0,8,16,-0.045778429897791,7
1477585809.0,32,24,0.0856097466869641,8
1685609797.0,42,56,0.1395569121139274,9
1685609797.0,8,54,0.0379729130907863,9
1477585809.0,20,24,0.0254716691285616,8
1685609797.0,48,58,0.1308177722087911,9
1685609797.0,6,56,0.0529880589070002,9
1477585809.0,24,52,0.0401995179610481,8
1685609797.0,14,58,0.0967092527240114,9
1894912206.0,10,2,-0.0646408343127674,10
1477585809.0,42,48,0.1269545125691247,8
1685609797.0,24,10,-0.024563328729886,9
1894912206.0,22,38,0.1033965764065062,10
1685609797.0,46,56,0.1712428295743203,9
1685609797.0,30,26,0.0841069695876293,9
1894912206.0,48,20,0.0266001548612489,10
1894912206.0,4,38,0.0099750612555969,10
1685609797.0,46,8,0.0625336378873405,9
1477585809.0,6,30,-0.0016858363758713,8
1894912206.0,6,48,0.0630010227220494,10
1477585809.0,36,50,0.1101435958815468,8
1270890835.0,48,8,-0.0117655816244483,7
1685609797.0,18,36,0.0952340290914069,9
1894912206.0,38,46,0.1781177108060458,10
1894912206.0,54,36,0.2176183621387951,10
1270890835.0,38,58,0.2095173801731543,7
1685609797.0,38,52,0.1477259037043236,9
1894912206.0,6,42,0.0260375516113952,10
1477585809.0,36,8,-0.0169173414969229,8
1894912206.0,48,26,0.1471351243546451,10
1477585809.0,48,58,0.1797465052644255,8
1270890835.0,14,28,0.0477690723921411,7
1477585809.0,36,28,0.1345244821913736,8
1270890835.0,28,30,0.1046046238868877,7
1270890835.0,50,16,0.0882358769191862,7
1894912206.0,54,32,0.0785505432808605,10
1894912206.0,36,14,0.0584253582328045,10
1894912206.0,44,46,0.1223024709708313,10
1477585809.0,54,20,0.1761547763811497,8
1270890835.0,46,56,0.0875284853346118,7
1270890835.0,44,10,-0.0038132578819561,7
1477585809.0,2,22,-0.0292870996487118,8
1894912206.0,24,50,0.2145943244074046,10
1270890835.0,42,48,0.1148037599715769,7
1270890835.0,36,50,0.0673033504455867,7
1477585809.0,54,2,0.0238174501704429,8
1894912206.0,42,36,0.1582646797082701,10
1270890835.0,18,38,0.0776390720678304,7
1477585809.0,12,34,-0.0071700148096469,8
1477585809.0,34,36,0.0671046901294551,8
1685609797.0,28,48,0.1080684659863173,9
1477585809.0,44,12,0.0295614302416561,8
1270890835.0,22,54,0.1475096209429101,7
1270890835.0,18,16,-0.0037868166460219,7
1894912206.0,46,24,0.0751663431291015,10
1685609797.0,8,42,0.0509213255555933,9
1685609797.0,48,38,0.1151148784461283,9
1270890835.0,24,16,0.0286715172060624,7
1270890835.0,2,54,0.0117641182683455,7
1894912206.0,44,16,0.0675646384591126,10
1685609797.0,50,36,0.125227895173689,9
1270890835.0,48,4,-0.0589576355493121,7
1685609797.0,32,30,0.0734146074252909,9
1270890835.0,12,44,0.0387654427127171,7
1685609797.0,26,42,0.051028407564321,9
1894912206.0,30,44,0.138725468513795,10
1477585809.0,18,20,0.0365102830749217,8
1894912206.0,24,20,0.0137589219290119,10
1894912206.0,34,32,0.1103206901155326,10
1477585809.0,48,30,0.1461907096128603,8
1894912206.0,30,26,0.0714878231040671,10
1685609797.0,38,18,0.1100456047725707,9
1685609797.0,18,26,0.0230076875944725,9
1894912206.0,2,34,-0.0212657616662535,10
1270890835.0,12,38,0.0754837383728773,7
1477585809.0,42,58,0.1528913283575239,8
1477585809.0,58,32,0.1590773332332505,8
1270890835.0,22,36,0.0676701062505936,7
1685609797.0,52,38,0.1497202734463308,9
1477585809.0,24,26,0.0605991328319194,8
1477585809.0,56,28,0.0978796709291928,8
1894912206.0,50,6,0.0519932069895282,10
1685609797.0,56,28,0.1177893792407109,9
1477585809.0,4,50,0.0746361397149389,8
1894912206.0,12,40,-0.0235743360940566,10
1685609797.0,34,24,0.13153802063526,9
1477585809.0,56,42,0.0684467216844182,8
