block,Lambda,a_pred,a_oracle,b_pred,b_oracle
7,30.0,-0.02035824461479889,-0.016595325122583802,0.017470428805218947,0.01464867796861523
7,31.0,-0.02503010799286337,-0.020781286099180535,0.013014753590839104,0.012058897578829315
7,32.0,-0.028204427010463898,-0.024209512812498817,0.007429513214852267,0.008295573033381845
7,33.0,-0.029787055815009525,-0.026615934685214452,0.001226685985550667,0.0036124862690160397
7,34.0,-0.02983678098801472,-0.027848292653717667,-0.005111078694114736,-0.0016547364385423467
7,35.0,-0.028532057378054657,-0.027882280269489274,-0.011182066086604332,-0.007151206252682739
7,36.0,-0.02611870157189259,-0.02679871543688934,-0.01669325250577526,-0.01255916609695954
7,37.0,-0.02286153299392249,-0.024743996545060078,-0.02145793841388588,-0.017626920571056803
7,38.0,-0.019013352693581072,-0.02189466496965214,-0.02537555976076175,-0.022172576570419683
7,39.0,-0.014801172090490644,-0.01843437937210696,-0.028408152892375735,-0.026074712864940154
7,40.0,-0.010423158020376848,-0.014542015180783276,-0.030561612940715993,-0.02926035703732413
7,41.0,-0.006049751785777031,-0.010386240459426871,-0.03187351007324937,-0.03169532134387007
7,42.0,-0.001824989189125271,-0.006122490079552253,-0.032405801934521195,-0.033377749302485736
7,43.0,0.002133372264564601,-0.0018901118433973544,-0.032239906049487746,-0.03433368565896551
7,44.0,0.005734633359794496,0.002190847743665505,-0.03147211162480505,-0.03461307985283081
7,45.0,0.008915836676506538,0.006022712594017687,-0.030208318277914786,-0.034285114795416516
7,46.0,0.011641365099880827,0.00953225097202311,-0.02855805179054416,-0.03343253037644176
7,47.0,0.013900909182412852,0.012671084752259924,-0.026628342481991918,-0.03214529323081003
7,48.0,0.015705823323350986,0.015414216749135602,-0.024518271081005752,-0.03051434180168021
7,49.0,0.01708434368198499,0.017756931482709702,-0.02231485342611668,-0.028626168884749937
7,50.0,0.01807635863174687,0.01971064317273717,-0.02009060427962081,-0.026558782112890804
7,51.0,0.01872840353045336,0.021298366061187478,-0.017902760807651442,-0.02437925369377771
7,52.0,0.019089373918926546,0.02255039923968236,-0.015793877119825307,-0.022142767297186547
7,53.0,0.019207216189271965,0.023500632396635374,-0.013793368909847198,-0.019892868959673536
7,54.0,0.01912664235353035,0.024183672521162537,-0.011919578124452268,-0.017662546213417122
7,55.0,0.01888776710172707,0.02463281987386506,-0.010181998201490051,-0.015475770986243541
8,30.0,-0.009708922911562959,-0.011033381148977688,0.013289467054738179,0.011862883834449982
8,31.0,-0.013433332971857309,-0.014190332870403825,0.011265336530219848,0.010299662731750817
8,32.0,-0.016293936902346318,-0.01690589749072362,0.008208380238346292,0.007862408899376493
8,33.0,-0.018124807039862648,-0.018962948176194785,0.004478213095977783,0.004691953029221142
8,34.0,-0.018896539245256833,-0.02021696036595211,0.00044191844048283024,0.0010084990816908404
8,35.0,-0.018691763330730984,-0.020617815256025688,-0.0035794886948878474,-0.0029369320343311496
8,36.0,-0.017661872354739955,-0.020197966414525596,-0.007342533522606429,-0.006909388729015198
8,37.0,-0.01598495735991562,-0.019044404755441738,-0.010685510986952154,-0.010716388518314782
